"arm","rep","condition","method","n","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor"
"C",1,"mar","ImputeDIABLO",300,300,1.075,"",0.506755519059939,0.788652280837112,0.877118337909598,1,0.714213303968809,0.764305833347049,NA,0.722998036524056,0.396928301029789,1,1
"C",2,"complete","GRAMA",300,300,2.188,"",0.346874938101055,0.963537587405505,0.588926064359538,1,0.469285017255682,0.893849565546437,NA,0.346874938101055,0.963537587405505,0.588926064359538,1
"C",2,"complete","DIABLO",300,300,0.722,"",0.738751523115692,0.385293455268238,1,1,0.869674526679452,0.398292841955132,NA,0.738751523115692,0.385293455268238,1,1
"C",2,"complete","MOFA2",300,300,14.786,"",0.568902075510014,0.700109480434448,1,1,0.965053233671203,0.195054403275673,NA,0.568902075510014,0.700109480434448,1,1
"C",2,"mcar30","GRAMA",300,291,1.403,"",0.0669160146783989,1.8616759337699,0.328201057431668,0.97,0.249834946253967,0.999283553135118,NA,0.352293788101419,1.10579456259248,1,1
"C",2,"mcar30","DIABLO",300,104,0.254999999999999,"",0.720127376941643,0.405331925897375,1,0.346666666666667,0.914460833285059,0.303549684215674,NA,0.720127376941643,0.405331925897375,1,1
"C",2,"mcar30","MOFA2",300,291,3.172,"",0.52606528965272,0.744374257993175,0.916522773888166,1,0.778559589422675,1.10889677009803,NA,0.626619360949986,0.589759614912068,1,1
"C",2,"mcar30","ImputeDIABLO",300,300,1.761,"",0.548483718565632,0.671723343797033,0.934349476707491,1,0.729942538191928,1.17297350672826,NA,0.749004257151641,0.369323389745043,1,1
"C",2,"mcar50","GRAMA",300,268,1.379,"",-0.0573774462104207,2.36756302052691,0.202237109510863,0.893333333333333,0.140596845793837,1.12535088520548,NA,0.409591110337341,1.00211352767298,1,1
"C",2,"mcar50","DIABLO",300,50,0.221,"",0.678196998734702,0.546864155749355,1,0.166666666666667,0.797161033489945,0.998459835569752,NA,0.678196998734702,0.546864155749355,1,1
"C",2,"mcar50","MOFA2",300,268,2.54,"",0.445501574599108,0.915778232284793,0.817076655264507,1,0.702984039846226,0.964251491083118,NA,0.592427034888477,0.719925439645736,1,1
"C",2,"mcar50","ImputeDIABLO",300,300,1.499,"",0.462722722806713,0.791557993410275,0.792704778390643,1,0.673476782477061,0.828276142619568,NA,0.723480580376947,0.429103403564415,1,1
"C",2,"mar","GRAMA",300,290,1.42,"",-0.0729682963501323,3.88767357670085,0.296985554077107,0.966666666666667,0.232736569130958,0.996401993462039,NA,0.440863922365059,1.12081017626565,0.682832882757731,1
"C",2,"mar","DIABLO",300,104,0.280999999999999,"",0.697680356224877,0.440010689364923,1,0.346666666666667,0.865363580416494,0.427796986943857,NA,0.697680356224877,0.440010689364923,1,1
