"arm","rep","condition","method","n","V","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor","ber","ber_anchor"
"A",87,"complete","MOFA2",300,2,300,15.784,"",-0.050109084755113,6.49785921256663,0.06072114623164,1,0.641416982796498,0.102067337234794,NA,-0.050109084755113,6.49785921256663,0.06072114623164,1,NA,NA
"A",87,"mcar30","GRAMA",300,2,300,17.04,"",0.158146515135963,2.26960645566456,0.286339403240094,1,0.0532063629553354,0.665166525688897,NA,0.773519125194711,0.402105878307968,1,1,0.606965421303657,NA
"A",87,"mcar30","DIABLO",300,2,146,45.98,"",0.0332975620054392,2.54310301852386,0.130954305294956,0.486666666666667,0.342840920412539,1.92834998092263,NA,0.0332975620054392,2.54310301852386,0.130954305294956,1,0.673383204633205,NA
"A",87,"mcar30","MOFA2",300,2,300,4.76300000000001,"",-0.0338012912598234,6.79188558477333,0.0359845694819357,1,0.341850934485106,0.672709743739936,NA,-0.058219649098504,4.9240908821512,0.065936555606817,1,NA,NA
"A",87,"mcar30","ImputeDIABLO",300,2,300,3.733,"",-0.000495354256072236,3.05652878269356,0.0761036006901287,1,0.18136051459661,1.25663228734247,NA,-0.000551186616948831,3.12545922653115,0.097758263624385,1,NA,NA
"A",87,"mcar50","GRAMA",300,2,300,8.21799999999999,"",0.0244276288300618,4.14624690056272,0.126811704436937,1,0.115056314460275,1.38853256960773,NA,0.717571804373586,0.584059274519848,1,1,0.61475468975469,NA
"A",87,"mcar50","DIABLO",300,2,76,36.302,"",0.0923437350813909,1.79788568339326,0.222291152925408,0.253333333333333,0.415593886358362,5.72924775422178,NA,0.0923437350813909,1.79788568339326,0.222291152925408,1,0.794444444444445,NA
"A",87,"mcar50","MOFA2",300,2,300,4.67099999999999,"",-0.0521296299518217,8.63746003863826,0.0469918061764956,1,0.255015235665989,0.453739512131295,NA,-0.0757868987514646,7.4235499708506,0.159226009454799,1,NA,NA
"A",87,"mcar50","ImputeDIABLO",300,2,300,2.95299999999997,"",-0.0157166410955613,3.12285339079183,0.116749274236026,1,0.201845235760416,0.582475624209804,NA,0.00752078868020491,2.30118161656525,0.235454468592268,1,NA,NA
"A",87,"mar","GRAMA",300,2,300,25.202,"",0.151551204737665,3.04099277464647,0.335194906700741,1,0.0738342495050955,0.996930352546473,NA,0.719287573813611,0.450529020278802,1,1,0.752001630958559,NA
"A",87,"mar","DIABLO",300,2,148,46.788,"",0.0278734164320484,2.54200296502891,0.219283188625595,0.493333333333333,0.392129007798629,1.70934361449877,NA,0.0278734164320484,2.54200296502891,0.22702342681863,1,0.74794894605481,NA
"A",87,"mar","MOFA2",300,2,300,4.11099999999999,"",-0.0415113416978398,8.35316162941416,0.0334541447150812,1,0.320433093861412,1.35441776689267,NA,-0.0434298611564797,5.14074400771844,0.0643320144441647,1,NA,NA
"A",87,"mar","ImputeDIABLO",300,2,300,3.77800000000002,"",-0.00710385991463376,3.29786576285213,0.0440899715700586,1,0.199140045560281,0.837619614398756,NA,0.00967883950638583,2.94755413619587,0.0686168308999498,1,NA,NA
"A",88,"complete","GRAMA",300,2,300,41.188,"",0.72412781221096,0.461112050401738,1,1,0.180336213976022,1.76288706945238,NA,0.72412781221096,0.461112050401738,1,1,0.623333333333333,NA
"A",88,"complete","DIABLO",300,2,300,68.854,"",0.0116493425211298,3.15493845674333,0.144654350760714,1,0.435117673264159,1.22010536477404,NA,0.0116493425211298,3.15493845674333,0.144654350760714,1,0.686666666666667,NA
"A",88,"complete","MOFA2",300,2,300,15.9,"",-0.0259935634790918,5.15491947124342,0.133277810331746,1,0.651531959728293,0.548016380065312,NA,-0.0259935634790918,5.15491947124342,0.133277810331746,1,NA,NA
"A",88,"mcar30","GRAMA",300,2,300,24.701,"",0.157158659403845,2.21393193523962,0.217173070720943,1,0.0713801533895323,1.41388698359694,NA,0.769449930582964,0.406826606678121,1,1,0.668058365491489,NA
"A",88,"mcar30","DIABLO",300,2,150,47.812,"",0.021082319459658,2.41816275385372,0.176509628296161,0.5,0.499487253006749,1.02664700190723,NA,0.021082319459658,2.41816275385372,0.176509628296161,1,0.734493056336093,NA
"A",88,"mcar30","MOFA2",300,2,300,4.62199999999999,"",-0.0478453688162499,6.88517934000891,0.0529103900427266,1,0.294600543746533,1.06043053697588,NA,-0.0433674851179447,8.07329857099512,0.100401718350518,1,NA,NA
"A",88,"mcar30","ImputeDIABLO",300,2,300,3.786,"",-0.0502784294510868,4.29030033907713,0.0944465791968594,1,0.295488985595789,1.0537929361205,NA,-0.0251964820299144,4.02127595724444,0.155580616483124,1,NA,NA
"A",88,"mcar50","GRAMA",300,2,300,7.59300000000002,"",0.0260891359335901,3.96804469573109,0.130686275033106,1,0.106173010631753,1.50430764065475,NA,0.70271526265384,0.58379788459685,1,1,0.734292412617221,NA
"A",88,"mcar50","DIABLO",300,2,78,37.391,"",0.0690009570115794,2.20033292501498,0.250739376175129,0.26,0.471517553860035,3.55046244893926,NA,0.0690009570115794,2.20033292501498,0.250739376175129,1,0.677234299516908,NA
"A",88,"mcar50","MOFA2",300,2,300,4.07999999999998,"",-0.0289954665843376,10.2333104302478,0.0108055074548316,1,0.234105379041767,1.07590708268921,NA,-0.0478793584060892,4.82220137338887,0.129856451278551,1,NA,NA
"A",88,"mcar50","ImputeDIABLO",300,2,300,3.06299999999999,"",-0.00535674914261038,3.62531965013894,0.0874367250460259,1,0.128612037174682,1.42573300353268,NA,-0.00598169889090959,2.73875931571277,0.111660086684001,1,NA,NA
"A",88,"mar","GRAMA",300,2,300,21.734,"",0.173860984749124,2.32938255407755,0.236699173389211,1,0.0784670314961466,1.92879944825293,NA,0.816161520077956,0.347561052820187,1,1,0.694250139135939,NA
"A",88,"mar","DIABLO",300,2,145,46.339,"",0.052297227244723,2.32746810227948,0.160095738273409,0.483333333333333,0.49733146163583,1.45463699343196,NA,0.052297227244723,2.32746810227948,0.163049923355107,1,0.75050539083558,NA
"A",88,"mar","MOFA2",300,2,300,5.79200000000003,"",-0.0361876517115834,8.68669786691218,0.0535804141346745,1,0.357317868249496,1.23911847503488,NA,-0.0220944801674876,5.49846992177099,0.139706751981723,1,NA,NA
