"rep","arm","condition","method","sil","ber","nmi","n_used","ess","elapsed","error"
47,"D","mcar50","DenseDIABLO",0.468690674877255,0.739452798663325,1,71,0.236666666666667,2.143,NA
48,"D","complete","DenseDIABLO",0.402300426242839,0.75,0.977760764826701,300,1,4.558,NA
48,"D","mcar50","DenseDIABLO",0.417175477981283,0.75,1,81,0.27,1.908,NA
49,"D","complete","DenseDIABLO",0.384900583848687,0.79,0.942865935849487,300,1,4.684,NA
49,"D","mcar50","DenseDIABLO",0.45701910307415,0.816416040100251,1,77,0.256666666666667,1.876,NA
50,"D","complete","DenseDIABLO",0.38027658752063,0.78,0.914488220573694,300,1,4.695,NA
50,"D","mcar50","DenseDIABLO",0.394829205069338,0.741990846681922,0.965131703022986,80,0.266666666666667,1.921,NA
51,"D","complete","DenseDIABLO",0.383217340767225,0.75,0.917145790394973,300,1,6.045,NA
51,"D","mcar50","DenseDIABLO",0.451598318623439,0.791925465838509,0.961087825932279,73,0.243333333333333,2.398,NA
52,"D","complete","DenseDIABLO",0.396362624965039,0.77,0.964973598360303,300,1,6.012,NA
52,"D","mcar50","DenseDIABLO",0.428431965192908,0.804002192982456,0.961601514525189,76,0.253333333333333,2.481,NA
53,"D","complete","DenseDIABLO",0.383888348254209,0.803333333333333,0.961674091546457,300,1,6.053,NA
53,"D","mcar50","DenseDIABLO",0.441799845879916,0.773313492063492,0.92905192924431,82,0.273333333333333,2.548,NA
54,"D","complete","DenseDIABLO",0.381009073639155,0.78,0.944089327784964,300,1,5.845,NA
54,"D","mcar50","DenseDIABLO",0.45877705873381,0.75,0.959986019074722,75,0.25,2.352,NA
55,"D","complete","DenseDIABLO",0.376575749894611,0.786666666666667,0.875090794546535,300,1,5.962,NA
55,"D","mcar50","DenseDIABLO",0.429428922116269,0.75,1,77,0.256666666666667,2.603,NA
56,"D","complete","DenseDIABLO",0.377401058661433,0.75,0.90649599233294,300,1,5.839,NA
56,"D","mcar50","DenseDIABLO",0.42257881971579,0.75,0.965047521916469,84,0.28,2.502,NA
57,"D","complete","DenseDIABLO",0.415668193944226,0.75,0.947320379037805,300,1,5.931,NA
57,"D","mcar50","DenseDIABLO",0.484135925953349,0.789772727272727,1,73,0.243333333333333,2.384,NA
58,"D","complete","DenseDIABLO",0.397863564910162,0.75,0.934735886903305,300,1,6.244,NA
58,"D","mcar50","DenseDIABLO",0.450660669680233,0.798713235294118,1,65,0.216666666666667,2.153,NA
59,"D","complete","DenseDIABLO",0.395065909801228,0.75,0.956876829056459,300,1,6.104,NA
59,"D","mcar50","DenseDIABLO",0.447293852352629,0.769318181818182,1,79,0.263333333333333,2.478,NA
60,"D","complete","DenseDIABLO",0.375439620843642,0.78,0.917079637340677,300,1,6.453,NA
60,"D","mcar50","DenseDIABLO",0.395183970993477,0.829545454545455,1,69,0.23,2.28,NA
61,"D","complete","DenseDIABLO",0.413270530543654,0.75,0.914279116568574,300,1,5.62,NA
61,"D","mcar50","DenseDIABLO",0.461672648118362,0.785714285714286,1,70,0.233333333333333,2.199,NA
62,"D","complete","DenseDIABLO",0.369456502610539,0.79,0.90649599233294,300,1,5.772,NA
62,"D","mcar50","DenseDIABLO",0.41818419708132,0.75,1,68,0.226666666666667,2.172,NA
63,"D","complete","DenseDIABLO",0.390626578802154,0.75,0.942789047345296,300,1,5.693,NA
63,"D","mcar50","DenseDIABLO",0.434556874598766,0.75,1,80,0.266666666666667,2.581,NA
64,"D","complete","DenseDIABLO",0.376248200497717,0.76,0.940209429587316,300,1,6.053,NA
64,"D","mcar50","DenseDIABLO",0.434546793449777,0.734941520467836,1,69,0.23,2.199,NA
65,"D","complete","DenseDIABLO",0.387876086665789,0.763333333333333,0.917964933382658,300,1,5.789,NA
65,"D","mcar50","DenseDIABLO",0.446031872835171,0.777972027972028,1,95,0.316666666666667,2.517,NA
66,"D","complete","DenseDIABLO",0.393304251438965,0.79,0.955652636703501,300,1,5.669,NA
66,"D","mcar50","DenseDIABLO",0.436934060573717,0.835109406081273,1,76,0.253333333333333,2.421,NA
67,"D","complete","DenseDIABLO",0.40138920557496,0.756666666666667,0.917183832916097,300,1,5.722,NA
67,"D","mcar50","DenseDIABLO",0.429880243559104,0.741666666666667,1,83,0.276666666666667,2.483,NA
68,"D","complete","DenseDIABLO",0.369945959739671,0.773333333333333,0.930434360164129,300,1,5.68,NA
68,"D","mcar50","DenseDIABLO",0.423963568201857,0.797368421052632,1,68,0.226666666666667,2.04,NA
69,"D","complete","DenseDIABLO",0.410005735087914,0.763333333333333,0.956776452997869,300,1,5.514,NA
69,"D","mcar50","DenseDIABLO",0.428437580138567,0.817708333333333,1,76,0.253333333333333,2.242,NA
70,"D","complete","DenseDIABLO",0.384663757565621,0.76,0.90649599233294,300,1,5.476,NA
70,"D","mcar50","DenseDIABLO",0.431286537660912,0.75,0.9193303862168,70,0.233333333333333,2.152,NA
71,"D","complete","DenseDIABLO",0.390074244943086,0.763333333333333,0.92721516194053,300,1,5.644,NA
71,"D","mcar50","DenseDIABLO",0.447725540870115,0.75,1,84,0.28,2.305,NA
72,"D","complete","DenseDIABLO",0.382553059405965,0.756666666666667,0.930078825029962,300,1,5.458,NA
72,"D","mcar50","DenseDIABLO",0.417206793550372,0.781111111111111,0.966202466260065,87,0.29,2.396,NA
73,"D","complete","DenseDIABLO",0.397890501831121,0.75,0.905246201924696,300,1,4.628,NA
73,"D","mcar50","DenseDIABLO",0.449298073351092,0.7325,1,89,0.296666666666667,2.067,NA
74,"D","complete","DenseDIABLO",0.385316700098625,0.75,0.898536358334206,300,1,4.677,NA
74,"D","mcar50","DenseDIABLO",0.445436510566693,0.765151515151515,1,76,0.253333333333333,1.982,NA
75,"D","complete","DenseDIABLO",0.37997621584377,0.766666666666667,0.94939489047627,300,1,4.748,NA
75,"D","mcar50","DenseDIABLO",0.423943955660121,0.799641148325359,0.959993810412147,73,0.243333333333333,1.84,NA
76,"D","complete","DenseDIABLO",0.404576836139409,0.78,0.939465822519432,300,1,5.824,NA
76,"D","mcar50","DenseDIABLO",0.4493311067909,0.813356921716055,1,69,0.23,2.255,NA
77,"D","complete","DenseDIABLO",0.421846770725541,0.76,0.939464538628585,300,1,6.096,NA
77,"D","mcar50","DenseDIABLO",0.448669185589206,0.74332264957265,1,85,0.283333333333333,2.697,NA
78,"D","complete","DenseDIABLO",0.410797859533255,0.763333333333333,0.929998858253271,300,1,6.127,NA
78,"D","mcar50","DenseDIABLO",0.459717922500346,0.835087719298246,1,61,0.203333333333333,2.146,NA
79,"D","complete","DenseDIABLO",0.396573322539197,0.713333333333333,0.955652636703501,300,1,5.91,NA
79,"D","mcar50","DenseDIABLO",0.456354516218675,0.784489633173844,1,78,0.26,2.5,NA
80,"D","complete","DenseDIABLO",0.400592771034628,0.773333333333333,0.936741082471827,300,1,5.984,NA
80,"D","mcar50","DenseDIABLO",0.452056677817304,0.729545454545454,1,82,0.273333333333333,2.361,NA
81,"D","complete","DenseDIABLO",0.383475453249824,0.773333333333333,0.930434360164129,300,1,4.455,NA
