"rep","parameter","value","sil_anchor","elapsed","error"
12,"k_nn",10,0.649972406844113,0.766999999999999,""
12,"k_nn",15,0.672958362900049,0.562000000000001,""
12,"k_nn",25,0.687552933266396,0.593,""
12,"k_nn",50,0.709684224147821,0.669,""
13,"lambda",1e-04,0.805584164934898,0.923,""
13,"lambda",0.001,0.805582686348226,0.770999999999999,""
13,"lambda",0.005,0.805575190095081,0.777,""
13,"lambda",0.01,0.805564625070708,0.782,""
13,"lambda",0.05,0.805445003192214,0.825,""
13,"lambda",0.1,0.805230947009323,0.779000000000001,""
13,"lambda",0.5,0.802245614612104,0.789999999999999,""
13,"lambda",1,0.797145762599435,0.768000000000001,""
13,"gamma_y",0,-0.124367918050957,0.766,""
13,"gamma_y",0.1,0.805427336188029,0.795999999999999,""
13,"gamma_y",0.5,0.805557975652765,0.811,""
13,"gamma_y",1,0.805564625070708,0.783000000000001,""
13,"gamma_y",2,0.805566831587051,0.798999999999999,""
13,"gamma_y",5,0.805567689423285,0.812999999999999,""
13,"gamma_y",10,0.805567840002384,0.815000000000001,""
13,"gamma_y",20,0.805567857667247,0.788,""
13,"k_nn",3,0.825546463527243,0.568999999999999,""
13,"k_nn",5,0.835465358794152,0.762999999999998,""
13,"k_nn",10,0.805564625070708,0.763000000000002,""
13,"k_nn",15,0.830773992054516,0.554000000000002,""
13,"k_nn",25,0.858789917784082,0.611000000000001,""
13,"k_nn",50,0.891546462155818,0.73,""
14,"lambda",1e-04,0.89252687553412,0.962,""
14,"lambda",0.001,0.892526073675303,0.826,""
14,"lambda",0.005,0.892520921433267,0.801,""
14,"lambda",0.01,0.892512132031123,0.787,""
14,"lambda",0.05,0.892380038671602,0.782999999999999,""
14,"lambda",0.1,0.892110090011471,0.803,""
14,"lambda",0.5,0.888129349037884,0.794,""
14,"lambda",1,0.881409934355413,0.789,""
14,"gamma_y",0,-0.117176973453367,0.763999999999999,""
14,"gamma_y",0.1,0.892265066841924,0.798,""
14,"gamma_y",0.5,0.892499066012041,0.792999999999999,""
14,"gamma_y",1,0.892512132031123,0.763,""
14,"gamma_y",2,0.89251667236687,0.765000000000001,""
14,"gamma_y",5,0.892518637181014,0.56,""
14,"gamma_y",10,0.892519142960656,0.789,""
14,"gamma_y",20,0.892519361711284,0.785,""
14,"k_nn",3,0.850167851795781,0.751999999999999,""
14,"k_nn",5,0.866622607225176,0.757000000000001,""
14,"k_nn",10,0.892512132031123,0.766000000000002,""
14,"k_nn",15,0.921842349034145,0.760000000000002,""
14,"k_nn",25,0.930671922923116,0.742999999999999,""
14,"k_nn",50,0.948029440300666,0.640000000000001,""
15,"lambda",1e-04,0.856402489621596,0.963,""
15,"lambda",0.001,0.856401390199551,0.84,""
15,"lambda",0.005,0.856395778974411,1.024,""
15,"lambda",0.01,0.856387645287488,0.778,""
15,"lambda",0.05,0.856288441426433,0.795,""
15,"lambda",0.1,0.856098543564387,0.824000000000001,""
15,"lambda",0.5,0.8531166515667,0.776,""
15,"lambda",1,0.847622050671507,0.827999999999999,""
15,"gamma_y",0,-0.0678405788417827,0.797999999999998,""
15,"gamma_y",0.1,0.856256252829106,0.790000000000001,""
15,"gamma_y",0.5,0.856381578749827,0.803000000000001,""
