"rep","arm","condition","method","sil","nmi","ber","n_used","ess","elapsed","error"
37,"A","mcar30","IntegrAO",-0.0494663417037135,0.0111897140088777,0.736666666666667,300,1,64.013,NA
37,"A","mcar50","IntegrAO",-0.0505119185035457,0.00931194034999805,0.723333333333333,300,1,63.342,NA
37,"A","mar","IntegrAO",-0.0414072099924019,0.0172921741106178,0.743333333333333,300,1,64.086,NA
38,"A","complete","IntegrAO",-0.0395843993499915,0.0153970328437311,0.663333333333333,300,1,94.6,NA
38,"A","mcar30","IntegrAO",-0.0384903926091459,0.00700435570211878,0.703333333333333,300,1,73.613,NA
38,"A","mcar50","IntegrAO",-0.0279674062016204,0.00679183151746867,0.743333333333333,300,1,60.693,NA
38,"A","mar","IntegrAO",-0.0394191970968114,0.0241577556410634,0.71,300,1,63.874,NA
39,"A","complete","IntegrAO",-0.050567366252405,0.00637276709274834,0.7,300,1,89.685,NA
39,"A","mcar30","IntegrAO",-0.0341759867426259,0.00422824725123242,0.69,300,1,55.12,NA
39,"A","mcar50","IntegrAO",-0.0415966639586077,0.0180755262668702,0.733333333333333,300,1,84.803,NA
39,"A","mar","IntegrAO",-0.0360233501666048,0.00869763095051354,0.733333333333333,300,1,63.92,NA
40,"A","complete","IntegrAO",-0.0400627592740485,0.00994267913342384,0.723333333333333,300,1,78.604,NA
40,"A","mcar30","IntegrAO",-0.0413891807890761,0.0162571358648996,0.76,300,1,39.912,NA
40,"A","mcar50","IntegrAO",-0.0381135167281634,0.00880020310566307,0.703333333333333,300,1,75.113,NA
40,"A","mar","IntegrAO",-0.0459076410167998,0.0141815034800616,0.76,300,1,66.637,NA
41,"A","complete","IntegrAO",-0.0542625944184511,0.022194296013948,0.703333333333333,300,1,92.949,NA
41,"A","mcar30","IntegrAO",-0.0450247080809554,0.0298035528728859,0.656666666666667,300,1,58.677,NA
41,"A","mcar50","IntegrAO",-0.0401786526405438,0.0184393467579266,0.683333333333333,300,1,58.733,NA
41,"A","mar","IntegrAO",-0.0473251059685121,0.0185175199527156,0.67,300,1,77.555,NA
42,"A","complete","IntegrAO",-0.0454018778616349,0.0104758304882592,0.723333333333333,300,1,90.38,NA
42,"A","mcar30","IntegrAO",-0.0418062785162972,0.0106645470847869,0.746666666666667,300,1,63.326,NA
42,"A","mcar50","IntegrAO",-0.0264688730560654,0.0149599866972082,0.73,300,1,61.835,NA
42,"A","mar","IntegrAO",-0.0394017290255433,0.0137340816855155,0.726666666666667,300,1,73.776,NA
43,"A","complete","IntegrAO",-0.0358965789889015,0.00755062924193859,0.706666666666667,300,1,91.005,NA
43,"A","mcar30","IntegrAO",-0.0294131732563205,0.0331752426303173,0.68,300,1,62.081,NA
43,"A","mcar50","IntegrAO",-0.0346328963915461,0.0103655634100553,0.753333333333333,300,1,55.753,NA
43,"A","mar","IntegrAO",-0.0304295143090967,0.0158762547497203,0.753333333333333,300,1,55.891,NA
44,"A","complete","IntegrAO",-0.047992861839656,0.0181220168041757,0.736666666666667,300,1,92.215,NA
44,"A","mcar30","IntegrAO",-0.0603257349942571,0.0136606119656231,0.726666666666667,300,1,72.415,NA
44,"A","mcar50","IntegrAO",-0.0489413475475475,0.015272784057412,0.706666666666667,300,1,57.912,NA
44,"A","mar","IntegrAO",-0.0492651784755572,0.0342307785533095,0.75,300,1,61.38,NA
45,"A","complete","IntegrAO",-0.0454565634594003,0.00295077761127709,0.616666666666667,300,1,85.133,NA
45,"A","mcar30","IntegrAO",-0.0462684024419862,0.0138009535937134,0.68,300,1,61.803,NA
45,"A","mcar50","IntegrAO",-0.0447059221222655,0.0126774478343917,0.68,300,1,78.159,NA
45,"A","mar","IntegrAO",-0.0346322722312475,0.0499799574949158,0.673333333333333,300,1,68.961,NA
46,"A","complete","IntegrAO",-0.0501312694380415,0.0114219953370567,0.653333333333333,300,1,89.907,NA
46,"A","mcar30","IntegrAO",-0.0412913150222622,0.0148787291912341,0.676666666666667,300,1,59.834,NA
46,"A","mcar50","IntegrAO",-0.0661188999593174,0.0145503061289135,0.71,300,1,64.309,NA
46,"A","mar","IntegrAO",-0.0545562550069837,0.0188850528594947,0.723333333333333,300,1,60.697,NA
47,"A","complete","IntegrAO",-0.0299393706496999,0.00674401672815249,0.69,300,1,79.207,NA
47,"A","mcar30","IntegrAO",-0.0318066714357186,0.0152799796849247,0.73,300,1,65.997,NA
47,"A","mcar50","IntegrAO",-0.0455188751346513,0.0298533433865536,0.736666666666667,300,1,62.531,NA
47,"A","mar","IntegrAO",-0.0341948792781418,0.0192351678766578,0.696666666666667,300,1,47.28,NA
48,"A","complete","IntegrAO",-0.0492086393014511,0.00914881378032262,0.73,300,1,93.742,NA
48,"A","mcar30","IntegrAO",-0.0368274646292058,0.0111412313474961,0.746666666666667,300,1,63.421,NA
48,"A","mcar50","IntegrAO",-0.0408599214696087,0.0210074367662525,0.726666666666667,300,1,71.436,NA
48,"A","mar","IntegrAO",-0.0342874923163736,0.00545739065235401,0.75,300,1,71.544,NA
49,"A","complete","IntegrAO",-0.0276329394014665,0.0138952103054924,0.61,300,1,95.524,NA
49,"A","mcar30","IntegrAO",-0.0320196459046481,0.0211370856380504,0.7,300,1,68.649,NA
49,"A","mcar50","IntegrAO",-0.034102829344067,0.00814699360792752,0.676666666666667,300,1,56.999,NA
49,"A","mar","IntegrAO",-0.0320446614713712,0.0131767642735085,0.683333333333333,300,1,72.763,NA
50,"A","complete","IntegrAO",-0.0479465634626577,0.00691671915644242,0.706666666666667,300,1,96.246,NA
50,"A","mcar30","IntegrAO",-0.0452664959497186,0.0184892380550072,0.676666666666667,300,1,57.539,NA
50,"A","mcar50","IntegrAO",-0.0389609520348264,0.0109882786945634,0.746666666666667,300,1,59.341,NA
50,"A","mar","IntegrAO",-0.0370983029761198,0.00771452040889115,0.723333333333333,300,1,65.931,NA
51,"A","complete","IntegrAO",-0.0397052492794689,0.0135053080443365,0.656666666666667,300,1,90.201,NA
51,"A","mcar30","IntegrAO",-0.0423841912610432,0.0151628381106995,0.756666666666667,300,1,74.041,NA
51,"A","mcar50","IntegrAO",-0.0437987375700901,0.011624782081401,0.726666666666667,300,1,59.871,NA
51,"A","mar","IntegrAO",-0.0427066584433554,0.0114781554896035,0.7,300,1,66.738,NA
52,"A","complete","IntegrAO",-0.0439417614792419,0.0148760780241599,0.63,300,1,79.738,NA
52,"A","mcar30","IntegrAO",-0.0470363207989392,0.00888721201493474,0.69,300,1,64.025,NA
52,"A","mcar50","IntegrAO",-0.0443778692009437,0.0262700724600321,0.69,300,1,62.053,NA
52,"A","mar","IntegrAO",-0.029696682326725,0.00865198380400138,0.706666666666667,300,1,56.676,NA
53,"A","complete","IntegrAO",-0.0471230261428331,0.0104727669409208,0.63,300,1,82.85,NA
53,"A","mcar30","IntegrAO",-0.0369582755626861,0.0107736416196292,0.73,300,1,61.75,NA
53,"A","mcar50","IntegrAO",-0.0229959179907291,0.0158608941910703,0.68,300,1,58.347,NA
53,"A","mar","IntegrAO",-0.0376298471855441,0.0117544541363488,0.73,300,1,61.324,NA
54,"A","complete","IntegrAO",-0.0582469831249671,0.0184452872517241,0.713333333333333,300,1,86.18,NA
54,"A","mcar30","IntegrAO",-0.0364553080404722,0.0145897703746304,0.716666666666667,300,1,56.909,NA
54,"A","mcar50","IntegrAO",-0.0357993176680251,0.018372790987163,0.676666666666667,300,1,67.551,NA
54,"A","mar","IntegrAO",-0.0411863173583336,0.0285882183933695,0.733333333333333,300,1,67.746,NA
55,"A","complete","IntegrAO",-0.0528295001999465,0.0134816925677282,0.663333333333333,300,1,110.727,NA
55,"A","mcar30","IntegrAO",-0.0275558609016835,0.0105886922279855,0.753333333333333,300,1,77.994,NA
55,"A","mcar50","IntegrAO",-0.0274749474165149,0.0422237942051068,0.663333333333333,300,1,71.356,NA
55,"A","mar","IntegrAO",-0.0390770093981999,0.0361486155118191,0.663333333333333,300,1,68.624,NA
56,"A","complete","IntegrAO",-0.0367114490971397,0.013127790723818,0.683333333333333,300,1,107.984,NA
56,"A","mcar30","IntegrAO",-0.042049324776349,0.0222719058096604,0.703333333333333,300,1,84.112,NA
56,"A","mcar50","IntegrAO",-0.0336188649222787,0.0214924012748075,0.706666666666667,300,1,62.503,NA
56,"A","mar","IntegrAO",-0.0282745015164554,0.0392675366404599,0.716666666666667,300,1,78.973,NA
57,"A","complete","IntegrAO",-0.0390769601319101,0.0133070149577906,0.703333333333333,300,1,103.234,NA
57,"A","mcar30","IntegrAO",-0.0354600606256544,0.0161138937563123,0.68,300,1,72.375,NA
57,"A","mcar50","IntegrAO",-0.0407250295283807,0.0151411651305481,0.713333333333333,300,1,59.843,NA
57,"A","mar","IntegrAO",-0.0454718190402619,0.0152172058182586,0.74,300,1,81.074,NA
58,"A","complete","IntegrAO",-0.0404852732935222,0.00959509828315099,0.686666666666667,300,1,115.065,NA
58,"A","mcar30","IntegrAO",-0.0412497668485129,0.0131795550437954,0.736666666666667,300,1,84.831,NA
58,"A","mcar50","IntegrAO",-0.0300335088682812,0.0151858026935718,0.743333333333333,300,1,63.103,NA
58,"A","mar","IntegrAO",-0.0328769467864544,0.023053624285491,0.69,300,1,72.176,NA
59,"A","complete","IntegrAO",-0.0469543773537982,0.00686078700169268,0.746666666666667,300,1,94.77,NA
59,"A","mcar30","IntegrAO",-0.054966019506142,0.0196554932658003,0.713333333333333,300,1,75.961,NA
59,"A","mcar50","IntegrAO",-0.0547150466551392,0.0255987330455303,0.72,300,1,63.77,NA
59,"A","mar","IntegrAO",-0.0496712340116981,0.00942572816880154,0.713333333333333,300,1,62.156,NA
60,"A","complete","IntegrAO",-0.0527455824862393,0.0145622485329862,0.743333333333333,300,1,84.018,NA
60,"A","mcar30","IntegrAO",-0.0554040652146187,0.0403388857095606,0.723333333333333,300,1,67.389,NA
60,"A","mcar50","IntegrAO",-0.0490875955476967,0.0231588452513794,0.696666666666667,300,1,52.438,NA
60,"A","mar","IntegrAO",-0.0352874814658186,0.0346329366322554,0.753333333333333,300,1,69.598,NA
61,"A","complete","IntegrAO",-0.0651326423121049,0.0268628995226063,0.616666666666667,300,1,91.575,NA
61,"A","mcar30","IntegrAO",-0.0404644412244372,0.00743944731551597,0.666666666666667,300,1,70.934,NA
61,"A","mcar50","IntegrAO",-0.0457355440728961,0.00597024210139508,0.696666666666667,300,1,44.328,NA
